Year,Movie,Worldwide
1925,The Big Parade,"$22,000,000 "
1937,Snow White and the Seven Dwarfs,"$184,925,486 "
1939,The Wizard of Oz,"$34,949,482 "
1939,Gone with the Wind,"$390,525,192 "
1940,Fantasia,"$83,320,832 "
1940,Pinocchio,"$84,300,000 "
1941,Sergeant York,"$16,400,000 "
1942,Mrs. Miniver,"$13,500,000 "
1942,Bambi,"$268,000,000 "
1943,For Whom the Bell Tolls,"$17,800,000 "
1943,This is the Army,"$19,500,000 "
1944,Going My Way,"$16,300,000 "
1945,Leave Her to Heaven,"$13,800,000 "
1945,Mom and Dad,"$16,000,000 "
1945,The Bells of St. Mary's,"$21,300,000 "
1946,Blue Skies,"$14,300,000 "
1946,It's a Wonderful Life,"$16,420,592 "
1946,The Jolson Story,"$19,000,000 "
1946,Duel in the Sun,"$20,400,000 "
1946,The Best Years of Our Lives,"$23,600,000 "
1946,Notorious,"$24,493,053 "
1946,Song of the South,"$65,000,000 "
1947,Welcome Stranger,"$15,300,000 "
1947,Forever Amber,"$16,000,000 "
1947,Miracle on 34th Street,"$46,295,886 "
1949,Samson and Delilah,"$28,824,741 "
1950,Cinderella,"$263,591,415 "
1951,David and Bathsheba,"$14,000,000 "
1951,Quo Vadis?,"$30,028,983 "
1952,The Snows of Kilimanjaro,"$14,181,330 "
1952,The Greatest Show on Earth,"$36,000,000 "
1953,Shane,"$20,000,000 "
1953,House of Wax,"$23,800,000 "
1953,From Here to Eternity,"$30,500,000 "
1953,The Robe,"$36,010,887 "
1953,Peter Pan,"$87,400,000 "
1954,The Egyptian,"$15,000,000 "
1954,The Caine Mutiny,"$21,800,000 "
1954,Demetrius and the Gladiators,"$26,012,630 "
1954,Rear Window,"$27,592,496 "
1954,"20,000 Leagues Under the Sea","$28,200,000 "
1954,White Christmas,"$30,001,212 "
1955,Mister Roberts,"$21,200,000 "
1955,Lady and the Tramp,"$93,638,184 "
1956,Trapeze,"$14,400,000 "
1956,The King and I,"$21,300,413 "
1956,Giant,"$30,194,409 "
1956,Around the World in 80 Days,"$42,000,000 "
1956,The Ten Commandments,"$85,433,929 "
1957,Peyton Place,"$25,600,000 "
1957,Sayonara,"$26,300,000 "
1957,The Bridge on the River Kwai,"$33,300,000 "
1958,Cat on a Hot Tin Roof,"$17,570,324 "
1958,Auntie Mame,"$23,300,000 "
1958,South Pacific,"$36,817,924 "
1959,North by Northwest,"$13,372,845 "
1959,Imitation of Life,"$14,000,365 "
1959,Pillow Talk,"$18,750,000 "
1959,Operation Petticoat,"$23,300,000 "
1959,Some Like it Hot,"$25,038,874 "
1959,The Shaggy Dog,"$29,000,000 "
1959,Ben-Hur,"$73,259,017 "
1960,Exodus,"$21,750,000 "
1960,The Apartment,"$24,599,998 "
1960,Psycho,"$32,002,177 "
1960,Swiss Family Robinson,"$40,400,000 "
1960,Spartacus,"$60,000,000 "
1961,King of Kings,"$14,483,352 "
1961,Lover Come Back,"$16,937,969 "
1961,La Dolce Vita,"$19,666,568 "
1961,The Absent Minded Professor,"$25,381,407 "
1961,El Cid,"$26,600,000 "
1961,The Guns of Navarone,"$28,918,820 "
1961,The Parent Trap,"$29,650,385 "
1961,West Side Story,"$47,596,274 "
1961,101 Dalmatians,"$153,301,743 "
1962,Hatari!,"$12,923,077 "
1962,To Kill A Mockingbird,"$13,129,846 "
1962,Mutiny on The Bounty,"$13,680,000 "
1962,The Music Man,"$14,953,846 "
1962,That Touch of Mink,"$17,648,927 "
1962,In Search of the Castaways,"$18,415,385 "
1962,The Longest Day,"$50,100,000 "
1962,Lawrence of Arabia,"$69,995,047 "
1963,Bye Bye Birdie,"$13,129,412 "
1963,Charade,"$13,474,929 "
1963,McLintock!,"$14,500,000 "
1963,The V.I.P.s,"$15,000,000 "
1963,Son of Flubber,"$22,129,412 "
1963,The Sword in the Stone,"$22,182,353 "
1963,Irma La Douce,"$25,246,588 "
1963,Tom Jones,"$37,600,000 "
1963,How the West Was Won,"$46,500,000 "
1963,Dr. No,"$59,567,035 "
1963,It's a Mad Mad Mad Mad World,"$60,000,000 "
1963,Cleopatra,"$71,000,000 "
1964,The Carpetbaggers,"$28,409,547 "
1964,My Fair Lady,"$72,072,607 "
1964,From Russia With Love,"$78,900,000 "
1964,Mary Poppins,"$102,296,470 "
1964,Goldfinger,"$124,900,000 "
1965,The Sons of Katie Elder,"$13,333,333 "
1965,The Sandpiper,"$13,691,111 "
1965,The Greatest Story Ever Told,"$15,473,333 "
1965,Our Man Flint,"$16,000,000 "
1965,Von Ryan's Express,"$17,111,111 "
1965,Shenandoah,"$17,268,889 "
1965,What's New Pussycat,"$18,820,000 "
1965,Cat Ballou,"$20,666,667 "
1965,The Great Race,"$25,333,333 "
1965,That Darn Cat!,"$28,062,222 "
1965,Those Magnificent Men In Their Flying,"$31,111,111 "
1965,Doctor Zhivago,"$112,040,388 "
1965,Thunderball,"$141,200,000 "
1965,The Sound of Music,"$286,214,195 "
1966,Torn Curtain,"$13,000,000 "
1966,Un homme et une femme,"$14,044,741 "
1966,The Wild Angels,"$15,541,070 "
1966,The Blue Max,"$16,151,612 "
1966,Follow Me Boys,"$16,207,116 "
1966,The Silencers,"$16,318,124 "
1966,Georgy Girl,"$16,873,162 "
1966,Alfie,"$18,871,300 "
1966,The Professionals,"$19,537,346 "
1966,Grand Prix,"$20,845,016 "
1966,"The Russians Are Coming, the Russians","$21,693,114 "
1966,"Lt. Robin Crusoe, U.S.N.","$22,565,634 "
1966,A Man for All Seasons,"$28,350,000 "
1966,The Sand Pebbles,"$30,017,647 "
1966,Who's Afraid of Virginia Wolf?,"$33,736,689 "
1966,Hawaii,"$34,562,222 "
1966,The Bible,"$34,903,530 "
1967,In Cold Blood,"$13,007,551 "
1967,Cool Hand Luke,"$16,218,161 "
1967,Wait Until Dark,"$17,550,741 "
1967,Barefoot in the Park,"$19,994,515 "
1967,In the Heat of the Night,"$24,407,647 "
1967,Camelot,"$31,102,578 "
1967,Thoroughly Modern Millie,"$34,335,025 "
1967,The Born Losers,"$36,000,000 "
1967,Casino Royale,"$41,744,718 "
